00:00:00:245:880,2,18FEF100,18FEF100,CAN - EXT,8,FC D0 06 00 00 5D 00 00,Rx,
00:00:00:248:430,2,0CF00400,0CF00400,CAN - EXT,8,31 93 93 DA 27 00 0F 93,Rx,
00:00:00:255:910,2,18FEDF00,18FEDF00,CAN - EXT,8,88 A0 28 7D FB FF FF FF,Rx,
00:00:00:268:330,2,0CF00400,0CF00400,CAN - EXT,8,11 93 93 0D 28 00 0F 93,Rx,
00:00:00:270:870,2,18FEF200,18FEF200,CAN - EXT,8,BD 00 71 01 7D 06 FF FF,Rx,
00:00:00:271:430,2,18F0010B,18F0010B,CAN - EXT,8,CF FF F0 FF FF CD FF FF,Rx,
00:00:00:276:030,2,18FEDF00,18FEDF00,CAN - EXT,8,88 A0 28 7D FB FF FF FF,Rx,
00:00:00:280:860,2,0CF00300,0CF00300,CAN - EXT,8,D0 32 19 FF FF FF 6B FF,Rx,
00:00:00:281:430,2,18FEBF0B,18FEBF0B,CAN - EXT,8,80 08 7D 6B 73 5F FF FF,Rx,
00:00:00:288:400,2,0CF00400,0CF00400,CAN - EXT,8,11 93 93 50 28 00 0F 93,Rx,
00:00:00:290:910,2,18F00100,18F00100,CAN - EXT,8,FF FF FF CF 00 FF FF FF,Rx,
00:00:00:295:940,2,18FEDF00,18FEDF00,CAN - EXT,8,88 A0 28 7D FB FF FF FF,Rx,
00:00:00:308:390,2,0CF00400,0CF00400,CAN - EXT,8,41 93 93 93 28 00 0F 93,Rx,
00:00:00:315:950,2,18FEDF00,18FEDF00,CAN - EXT,8,88 A0 28 7D FB FF FF FF,Rx,
00:00:00:320:880,2,18F0000F,18F0000F,CAN - EXT,8,F0 7D 7D FF 0F FF FF FF,Rx,
00:00:00:325:970,2,18FEF000,18FEF000,CAN - EXT,8,FF FF FF A5 28 F0 CC FF,Rx,
00:00:00:328:460,2,0CF00400,0CF00400,CAN - EXT,8,31 93 93 C2 28 00 0F 93,Rx,
00:00:00:330:920,2,0CF00300,0CF00300,CAN - EXT,8,D0 32 19 FF FF FF 6B FF,Rx,
00:00:00:335:930,2,18FEDF00,18FEDF00,CAN - EXT,8,88 A0 28 7D FB FF FF FF,Rx,
00:00:00:336:510,2,18FEE000,18FEE000,CAN - EXT,8,99 24 17 00 7E 24 17 00,Rx,
00:00:00:345:910,2,18FEF100,18FEF100,CAN - EXT,8,FC 14 07 00 00 5D 00 00,Rx,
00:00:00:348:410,2,0CF00400,0CF00400,CAN - EXT,8,21 93 93 FA 28 00 0F 93,Rx,
00:00:00:355:940,2,18FEDF00,18FEDF00,CAN - EXT,8,88 A0 28 7D FB FF FF FF,Rx,
00:00:00:368:390,2,0CF00400,0CF00400,CAN - EXT,8,41 93 93 3D 29 00 0F 93,Rx,
00:00:00:370:920,2,18FEF200,18FEF200,CAN - EXT,8,CE 00 5A 01 7D 06 FF FF,Rx,
00:00:00:371:480,2,18F0010B,18F0010B,CAN - EXT,8,CF FF F0 FF FF CD FF FF,Rx,
00:00:00:376:080,2,18FEDF00,18FEDF00,CAN - EXT,8,88 A0 28 7D FB FF FF FF,Rx,
00:00:00:380:890,2,0CF00300,0CF00300,CAN - EXT,8,D0 32 18 FF FF FF 6B FF,Rx,
00:00:00:381:490,2,18FEBF0B,18FEBF0B,CAN - EXT,8,80 08 7D 6B 75 61 FF FF,Rx,
00:00:00:388:410,2,0CF00400,0CF00400,CAN - EXT,8,41 93 93 7F 29 00 0F 93,Rx,
00:00:00:390:940,2,18F00100,18F00100,CAN - EXT,8,FF FF FF CF 00 FF FF FF,Rx,
00:00:00:395:950,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:401:020,2,18FD7C00,18FD7C00,CAN - EXT,8,F8 83 00 00 C3 0F E3 FF,Rx,
00:00:00:408:440,2,0CF00400,0CF00400,CAN - EXT,8,31 93 93 B3 29 00 0F 93,Rx,
00:00:00:412:120,2,18FECA00,18FECA00,CAN - EXT,8,00 FF 00 00 00 00 FF FF,Rx,
00:00:00:415:960,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:420:930,2,18F0000F,18F0000F,CAN - EXT,8,F0 7D 7D FF 0F FF FF FF,Rx,
00:00:00:425:990,2,18FEF000,18FEF000,CAN - EXT,8,FF FF FF D3 29 F0 CC FF,Rx,
00:00:00:428:500,2,0CF00400,0CF00400,CAN - EXT,8,51 93 93 FB 29 00 0F 93,Rx,
00:00:00:430:990,2,0CF00300,0CF00300,CAN - EXT,8,D0 32 18 FF FF FF 6D FF,Rx,
00:00:00:435:960,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:436:540,2,18FEE000,18FEE000,CAN - EXT,8,99 24 17 00 7E 24 17 00,Rx,
00:00:00:445:960,2,18FEF100,18FEF100,CAN - EXT,8,FC 3C 07 00 00 5D 00 00,Rx,
00:00:00:448:520,2,0CF00400,0CF00400,CAN - EXT,8,41 94 93 31 2A 00 0F 94,Rx,
00:00:00:455:970,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:468:410,2,0CF00400,0CF00400,CAN - EXT,8,41 94 93 7F 2A 00 0F 94,Rx,
00:00:00:470:960,2,18FEF200,18FEF200,CAN - EXT,8,AC 00 AE 01 7D 06 FF FF,Rx,
00:00:00:471:720,2,18F0010B,18F0010B,CAN - EXT,8,CF FF F0 FF FF CD FF FF,Rx,
00:00:00:476:090,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:480:920,2,0CF00300,0CF00300,CAN - EXT,8,D0 33 17 FF FF FF 6D FF,Rx,
00:00:00:481:490,2,18FEEF00,18FEEF00,CAN - EXT,8,FF FF FF 78 58 7D FF FA,Rx,
00:00:00:482:060,2,18FEBF0B,18FEBF0B,CAN - EXT,8,A0 08 7D 69 75 61 FF FF,Rx,
00:00:00:488:470,2,0CF00400,0CF00400,CAN - EXT,8,61 94 93 C3 2A 00 0F 94,Rx,
00:00:00:490:990,2,18F00100,18F00100,CAN - EXT,8,FF FF FF CF 00 FF FF FF,Rx,
00:00:00:496:000,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:505:970,2,18FEF600,18FEF600,CAN - EXT,8,FF 02 54 FF FF FF FF FF,Rx,
00:00:00:508:440,2,0CF00400,0CF00400,CAN - EXT,8,51 94 93 F7 2A 00 0F 94,Rx,
00:00:00:516:010,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:520:990,2,18F0000F,18F0000F,CAN - EXT,8,F0 7D 7D FF 0F FF FF FF,Rx,
00:00:00:526:020,2,18FEF000,18FEF000,CAN - EXT,8,FF FF FF 21 2B F0 CC FF,Rx,
00:00:00:526:620,2,18FDB400,18FDB400,CAN - EXT,8,48 29 FF FF FF FF FF FF,Rx,
00:00:00:528:600,2,0CF00400,0CF00400,CAN - EXT,8,71 94 93 34 2B 00 0F 94,Rx,
00:00:00:531:030,2,0CF00300,0CF00300,CAN - EXT,8,D0 33 17 FF FF FF 6D FF,Rx,
00:00:00:535:990,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:536:570,2,18FEE000,18FEE000,CAN - EXT,8,99 24 17 00 7E 24 17 00,Rx,
00:00:00:545:990,2,18FEF100,18FEF100,CAN - EXT,8,FC 70 07 00 00 5D 00 00,Rx,
00:00:00:548:650,2,0CF00400,0CF00400,CAN - EXT,8,71 94 93 88 2B 00 0F 94,Rx,
00:00:00:551:070,2,18FEF700,18FEF700,CAN - EXT,8,FF FF FF FF 16 01 FF FF,Rx,
00:00:00:551:650,2,18FDB300,18FDB300,CAN - EXT,8,40 29 FF FF FF FF FF FF,Rx,
00:00:00:556:080,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:568:460,2,0CF00400,0CF00400,CAN - EXT,8,71 94 93 D9 2B 00 0F 94,Rx,
00:00:00:570:980,2,18FEF200,18FEF200,CAN - EXT,8,CF 00 6A 01 7D 06 FF FF,Rx,
00:00:00:571:530,2,18FEEE00,18FEEE00,CAN - EXT,8,5A FF 77 28 FF FF FF FF,Rx,
00:00:00:572:110,2,18F0010B,18F0010B,CAN - EXT,8,CF FF F0 FF FF CD FF FF,Rx,
00:00:00:576:130,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:580:990,2,0CF00300,0CF00300,CAN - EXT,8,D0 33 17 FF FF FF 6D FF,Rx,
00:00:00:582:060,2,18FEBF0B,18FEBF0B,CAN - EXT,8,20 09 7D 65 6F 5B FF FF,Rx,
00:00:00:588:560,2,0CF00400,0CF00400,CAN - EXT,8,71 94 93 07 2C 00 0F 94,Rx,
00:00:00:591:000,2,18F00100,18F00100,CAN - EXT,8,FF FF FF CF 00 FF FF FF,Rx,
00:00:00:596:020,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:596:620,2,18FEE400,18FEE400,CAN - EXT,8,FF 3F FC FC 00 7F FF FF,Rx,
00:00:00:608:500,2,0CF00400,0CF00400,CAN - EXT,8,71 94 93 48 2C 00 0F 94,Rx,
00:00:00:616:010,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:621:020,2,18FEBD00,18FEBD00,CAN - EXT,8,00 F0 FF FF FF FF FF FF,Rx,
00:00:00:621:610,2,18F0000F,18F0000F,CAN - EXT,8,F0 7D 7D FF 0F FF FF FF,Rx,
00:00:00:626:050,2,18FEF000,18FEF000,CAN - EXT,8,FF FF FF 5A 2C F0 CC FF,Rx,
00:00:00:628:530,2,0CF00400,0CF00400,CAN - EXT,8,61 94 93 84 2C 00 0F 94,Rx,
00:00:00:631:000,2,0CF00300,0CF00300,CAN - EXT,8,D0 33 17 FF FF FF 6D FF,Rx,
00:00:00:636:020,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:636:600,2,18FEE000,18FEE000,CAN - EXT,8,99 24 17 00 7E 24 17 00,Rx,
00:00:00:641:110,2,18E0FF00,18E0FF00,CAN - EXT,8,00 FF FF FF FF FF FF FF,Rx,
00:00:00:646:010,2,18FEF100,18FEF100,CAN - EXT,8,FC A0 07 00 00 5D 00 00,Rx,
00:00:00:648:570,2,0CF00400,0CF00400,CAN - EXT,8,61 94 93 C4 2C 00 0F 94,Rx,
00:00:00:656:040,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:661:000,2,18FEF500,18FEF500,CAN - EXT,8,C8 FF FF FF FF FF FF FF,Rx,
00:00:00:668:510,2,0CF00400,0CF00400,CAN - EXT,8,61 94 93 E2 2C 00 0F 94,Rx,
00:00:00:671:010,2,18FEF200,18FEF200,CAN - EXT,8,DE 00 5E 01 7D 06 FF FF,Rx,
00:00:00:672:290,2,18F0010B,18F0010B,CAN - EXT,8,CF FF F0 FF FF CD FF FF,Rx,
00:00:00:676:170,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:681:000,2,0CF00300,0CF00300,CAN - EXT,8,D0 32 17 FF FF FF 6B FF,Rx,
00:00:00:682:300,2,18FEBF0B,18FEBF0B,CAN - EXT,8,20 09 7D 69 73 5B FF FF,Rx,
00:00:00:688:590,2,0CF00400,0CF00400,CAN - EXT,8,61 94 93 0D 2D 00 0F 94,Rx,
00:00:00:691:030,2,18F00100,18F00100,CAN - EXT,8,FF FF FF CF 00 FF FF FF,Rx,
00:00:00:696:040,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:706:040,2,18FEC100,18FEC100,CAN - EXT,8,5C 90 42 02 F2 92 42 02,Rx,
00:00:00:708:490,2,0CF00400,0CF00400,CAN - EXT,8,51 94 93 34 2D 00 0F 94,Rx,
00:00:00:716:040,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:721:000,2,18F0000F,18F0000F,CAN - EXT,8,F0 7D 7D FF 0F FF FF FF,Rx,
00:00:00:726:120,2,18FEF000,18FEF000,CAN - EXT,8,FF FF FF 46 2D F0 CC FF,Rx,
00:00:00:728:640,2,0CF00400,0CF00400,CAN - EXT,8,41 93 93 5B 2D 00 0F 93,Rx,
00:00:00:731:050,2,0CF00300,0CF00300,CAN - EXT,8,D0 32 17 FF FF FF 6B FF,Rx,
00:00:00:736:050,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:736:630,2,18FEE000,18FEE000,CAN - EXT,8,99 24 17 00 7E 24 17 00,Rx,
00:00:00:746:040,2,18FEF100,18FEF100,CAN - EXT,8,FC E0 07 00 00 5D 00 00,Rx,
00:00:00:748:550,2,0CF00400,0CF00400,CAN - EXT,8,31 93 93 67 2D 00 0F 93,Rx,
00:00:00:756:090,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:768:510,2,0CF00400,0CF00400,CAN - EXT,8,71 93 92 81 2D 00 0F 93,Rx,
00:00:00:771:040,2,18FEF200,18FEF200,CAN - EXT,8,E4 00 5B 01 7D 06 FF FF,Rx,
00:00:00:772:500,2,18F0010B,18F0010B,CAN - EXT,8,CF FF F0 FF FF CD FF FF,Rx,
00:00:00:776:190,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:781:050,2,0CF00300,0CF00300,CAN - EXT,8,D0 2E 16 FF FF FF 6D FF,Rx,
00:00:00:782:510,2,18FEBF0B,18FEBF0B,CAN - EXT,8,A0 08 89 71 7F 6B FF FF,Rx,
00:00:00:784:790,2,18E0FF28,18E0FF28,CAN - EXT,8,FF FF FF FF FF F0 FF FF,Rx,
00:00:00:788:630,2,0CF00400,0CF00400,CAN - EXT,8,21 92 92 7A 2D 00 0F 92,Rx,
00:00:00:791:050,2,18F00100,18F00100,CAN - EXT,8,FF FF FF CF 00 FF FF FF,Rx,
00:00:00:796:080,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:808:530,2,0CF00400,0CF00400,CAN - EXT,8,31 91 91 7F 2D 00 0F 91,Rx,
00:00:00:816:090,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:821:040,2,18F0000F,18F0000F,CAN - EXT,8,F0 7D 7D FF 0F FF FF FF,Rx,
00:00:00:826:120,2,18FEF000,18FEF000,CAN - EXT,8,FF FF FF 83 2D F0 CC FF,Rx,
00:00:00:828:620,2,0CF00400,0CF00400,CAN - EXT,8,21 90 90 71 2D 00 0F 90,Rx,
00:00:00:831:130,2,0CF00300,0CF00300,CAN - EXT,8,D0 28 15 FF FF FF 6D FF,Rx,
00:00:00:836:120,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:836:700,2,18FEE000,18FEE000,CAN - EXT,8,99 24 17 00 7E 24 17 00,Rx,
00:00:00:846:080,2,18FEF100,18FEF100,CAN - EXT,8,FC 1C 08 00 00 5D 00 00,Rx,
00:00:00:848:610,2,0CF00400,0CF00400,CAN - EXT,8,51 8F 8E 5F 2D 00 0F 8F,Rx,
00:00:00:856:170,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:868:580,2,0CF00400,0CF00400,CAN - EXT,8,31 8D 8D 23 2D 00 0F 8D,Rx,
00:00:00:871:060,2,18FEF200,18FEF200,CAN - EXT,8,DB 00 79 01 7E 06 FF FF,Rx,
00:00:00:872:740,2,18F0010B,18F0010B,CAN - EXT,8,CF FF F0 FF FF CD FF FF,Rx,
00:00:00:876:220,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:881:090,2,0CF00300,0CF00300,CAN - EXT,8,D0 1A 10 FF FF FF 6D FF,Rx,
00:00:00:882:770,2,18FEBF0B,18FEBF0B,CAN - EXT,8,00 09 87 73 79 65 FF FF,Rx,
00:00:00:888:560,2,0CF00400,0CF00400,CAN - EXT,8,11 8C 8C EE 2C 00 0F 8C,Rx,
00:00:00:891:080,2,18F00100,18F00100,CAN - EXT,8,FF FF FF CF 00 FF FF FF,Rx,
00:00:00:896:100,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:908:540,2,0CF00400,0CF00400,CAN - EXT,8,71 8B 8A A9 2C 00 0F 8B,Rx,
00:00:00:916:130,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:921:070,2,18F0000F,18F0000F,CAN - EXT,8,F0 7D 7D FF 0F FF FF FF,Rx,
00:00:00:926:130,2,18FEF000,18FEF000,CAN - EXT,8,FF FF FF 6D 2C F0 CC FF,Rx,
00:00:00:928:620,2,0CF00400,0CF00400,CAN - EXT,8,21 8A 8A 4C 2C 00 0F 8A,Rx,
00:00:00:931:160,2,0CF00300,0CF00300,CAN - EXT,8,D0 13 0E FF FF FF 71 FF,Rx,
00:00:00:936:120,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:936:700,2,18FEE000,18FEE000,CAN - EXT,8,99 24 17 00 7E 24 17 00,Rx,
00:00:00:946:100,2,18FEF100,18FEF100,CAN - EXT,8,FC 50 08 00 00 5D 00 00,Rx,
00:00:00:948:730,2,0CF00400,0CF00400,CAN - EXT,8,61 88 88 F0 2B 00 0F 88,Rx,
00:00:00:956:120,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:968:550,2,0CF00400,0CF00400,CAN - EXT,8,51 86 86 9A 2B 00 0F 86,Rx,
00:00:00:971:090,2,18FEF200,18FEF200,CAN - EXT,8,C6 00 A9 01 7D 06 FF FF,Rx,
00:00:00:972:990,2,18F0010B,18F0010B,CAN - EXT,8,CF FF F0 FF FF CD FF FF,Rx,
00:00:00:976:260,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:00:981:060,2,0CF00300,0CF00300,CAN - EXT,8,D1 03 09 FF FF FF 73 FF,Rx,
00:00:00:981:640,2,18FEEF00,18FEEF00,CAN - EXT,8,FF FF FF 7A 62 7D FF FA,Rx,
00:00:00:983:000,2,18FEBF0B,18FEBF0B,CAN - EXT,8,F0 08 88 72 7C 68 FF FF,Rx,
00:00:00:988:520,2,0CF00400,0CF00400,CAN - EXT,8,01 7D 7D 5E 2B 00 0F 7D,Rx,
00:00:00:991:160,2,18F00100,18F00100,CAN - EXT,8,FF FF FF CF 00 FF FF FF,Rx,
00:00:00:996:170,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:01:006:120,2,18FEF600,18FEF600,CAN - EXT,8,FF 03 54 FF FF FF FF FF,Rx,
00:00:01:008:540,2,0CF00400,0CF00400,CAN - EXT,8,01 7D 7D E6 2A 00 0F 7D,Rx,
00:00:01:016:130,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:01:021:100,2,18F0000F,18F0000F,CAN - EXT,8,F0 7D 7D FF 0F FF FF FF,Rx,
00:00:01:026:150,2,18FEF000,18FEF000,CAN - EXT,8,FF FF FF 90 2A F0 CC FF,Rx,
00:00:01:026:750,2,18FDB400,18FDB400,CAN - EXT,8,6A 29 FF FF FF FF FF FF,Rx,
00:00:01:028:680,2,0CF00400,0CF00400,CAN - EXT,8,31 7D 7D 32 2A 00 0F 7D,Rx,
00:00:01:031:120,2,0CF00300,0CF00300,CAN - EXT,8,D1 01 00 FF FF FF 77 FF,Rx,
00:00:01:036:140,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:01:036:730,2,18FEE000,18FEE000,CAN - EXT,8,99 24 17 00 7E 24 17 00,Rx,
00:00:01:046:140,2,18FEF100,18FEF100,CAN - EXT,8,FC 6C 08 00 00 5D 00 00,Rx,
00:00:01:048:550,2,0CF00400,0CF00400,CAN - EXT,8,01 7D 7D 91 29 00 0F 7D,Rx,
00:00:01:051:210,2,18FDB300,18FDB300,CAN - EXT,8,40 29 FF FF FF FF FF FF,Rx,
00:00:01:056:140,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:01:068:540,2,0CF00400,0CF00400,CAN - EXT,8,01 7D 7D FC 28 00 0F 7D,Rx,
00:00:01:071:130,2,18FEF200,18FEF200,CAN - EXT,8,63 00 5F 03 7D 06 FF FF,Rx,
00:00:01:073:250,2,18F0010B,18F0010B,CAN - EXT,8,CF FF F0 FF FF CD FF FF,Rx,
00:00:01:076:270,2,18FEDF00,18FEDF00,CAN - EXT,8,89 A0 28 7D FB FF FF FF,Rx,
00:00:01:081:200,2,0CF00300,0CF00300,CAN - EXT,8,D1 00 00 FF FF FF 1B FF,Rx,
00:00:01:083:240,2,18FEBF0B,18FEBF0B,CAN - EXT,8,10 09 88 72 7A 62 FF FF,Rx,
00:00:01:088:550,2,0CF00400,0CF00400,CAN - EXT,8,11 7D 7D 61 28 00 0F 7D,Rx,
00:00:01:091:160,2,18F00100,18F00100,CAN - EXT,8,FF FF FF CF 00 FF FF FF,Rx,
00:00:01:096:150,2,18FEDF00,18FEDF00,CAN - EXT,8,88 A0 28 7D FB FF FF FF,Rx,
