0, Sat Mar  4 14:28:24 2017
4616, Sat Mar  4 14:31:58 2017
 
4649, Sat Mar  4 14:32:00 2017
 
4682, Sat Mar  4 14:32:01 2017
 
4715, Sat Mar  4 14:32:03 2017
 
4748, Sat Mar  4 14:32:04 2017
 
4781, Sat Mar  4 14:32:06 2017
 
4814, Sat Mar  4 14:32:07 2017
 
4847, Sat Mar  4 14:32:09 2017
 
4880, Sat Mar  4 14:32:10 2017
 
4913, Sat Mar  4 14:32:12 2017
 
4946, Sat Mar  4 14:32:13 2017
 
4979, Sat Mar  4 14:32:15 2017
 
5012, Sat Mar  4 14:32:16 2017
 
5045, Sat Mar  4 14:32:18 2017
 
5078, Sat Mar  4 14:32:20 2017
 
5111, Sat Mar  4 14:32:21 2017
 
5144, Sat Mar  4 14:32:23 2017
 
5177, Sat Mar  4 14:32:24 2017
 
5210, Sat Mar  4 14:32:26 2017
 
5243, Sat Mar  4 14:32:27 2017
 
5276, Sat Mar  4 14:32:29 2017
 
5309, Sat Mar  4 14:32:30 2017
 
5342, Sat Mar  4 14:32:32 2017
 
5375, Sat Mar  4 14:32:33 2017
 
5408, Sat Mar  4 14:32:35 2017
 
5441, Sat Mar  4 14:32:36 2017
 
5474, Sat Mar  4 14:32:38 2017
 
5507, Sat Mar  4 14:32:39 2017
 
5540, Sat Mar  4 14:32:41 2017
 
5573, Sat Mar  4 14:32:42 2017
 
5606, Sat Mar  4 14:32:44 2017
 
5639, Sat Mar  4 14:32:45 2017
 
5672, Sat Mar  4 14:32:47 2017
 
5705, Sat Mar  4 14:32:48 2017
 
5738, Sat Mar  4 14:32:50 2017
 
5771, Sat Mar  4 14:32:51 2017
 
5804, Sat Mar  4 14:32:53 2017
 
5837, Sat Mar  4 14:32:54 2017
 
5870, Sat Mar  4 14:32:56 2017
 
5903, Sat Mar  4 14:32:58 2017
 
5936, Sat Mar  4 14:32:59 2017
 
5969, Sat Mar  4 14:33:01 2017
 
6002, Sat Mar  4 14:33:02 2017
 
6035, Sat Mar  4 14:33:04 2017
 
6068, Sat Mar  4 14:33:05 2017
 
6101, Sat Mar  4 14:33:07 2017
 
6134, Sat Mar  4 14:33:08 2017
 
6167, Sat Mar  4 14:33:10 2017
 
6200, Sat Mar  4 14:33:11 2017
 
6233, Sat Mar  4 14:33:13 2017
 
6266, Sat Mar  4 14:33:14 2017
 
6299, Sat Mar  4 14:33:16 2017
 
6332, Sat Mar  4 14:33:17 2017
 
6365, Sat Mar  4 14:33:19 2017
 
6398, Sat Mar  4 14:33:20 2017
 
6431, Sat Mar  4 14:33:22 2017
 
6464, Sat Mar  4 14:33:23 2017
 
6497, Sat Mar  4 14:33:25 2017
 
6530, Sat Mar  4 14:33:26 2017
 
6563, Sat Mar  4 14:33:28 2017
 
6596, Sat Mar  4 14:33:29 2017
 
6629, Sat Mar  4 14:33:31 2017
 
6662, Sat Mar  4 14:33:32 2017
 
6695, Sat Mar  4 14:33:34 2017
 
6728, Sat Mar  4 14:33:35 2017
 
6761, Sat Mar  4 14:33:37 2017
 
6794, Sat Mar  4 14:33:39 2017
 
6827, Sat Mar  4 14:33:40 2017
 
6860, Sat Mar  4 14:33:42 2017
 
6893, Sat Mar  4 14:33:43 2017
 
6926, Sat Mar  4 14:33:45 2017
 
6959, Sat Mar  4 14:33:46 2017
 
6992, Sat Mar  4 14:33:48 2017
 
7025, Sat Mar  4 14:33:49 2017
 
7058, Sat Mar  4 14:33:51 2017
 
7091, Sat Mar  4 14:33:52 2017
 
7124, Sat Mar  4 14:33:54 2017
 
7157, Sat Mar  4 14:33:55 2017
 
7190, Sat Mar  4 14:33:57 2017
 
7223, Sat Mar  4 14:33:58 2017
 
7256, Sat Mar  4 14:34:00 2017
 
7289, Sat Mar  4 14:34:01 2017
 
7322, Sat Mar  4 14:34:03 2017
 
7355, Sat Mar  4 14:34:04 2017
 
7388, Sat Mar  4 14:34:06 2017
 
7421, Sat Mar  4 14:34:07 2017
 
7454, Sat Mar  4 14:34:09 2017
 
7487, Sat Mar  4 14:34:10 2017
 
7520, Sat Mar  4 14:34:12 2017
 
7553, Sat Mar  4 14:34:13 2017
 
7586, Sat Mar  4 14:34:15 2017
 
7619, Sat Mar  4 14:34:17 2017
 
7652, Sat Mar  4 14:34:18 2017
 
7685, Sat Mar  4 14:34:20 2017
 
7718, Sat Mar  4 14:34:21 2017
 
7751, Sat Mar  4 14:34:23 2017
 
7784, Sat Mar  4 14:34:24 2017
 
7817, Sat Mar  4 14:34:26 2017
 
7850, Sat Mar  4 14:34:27 2017
 
7883, Sat Mar  4 14:34:29 2017
 
7916, Sat Mar  4 14:34:30 2017
 
7949, Sat Mar  4 14:34:32 2017
 
7982, Sat Mar  4 14:34:33 2017
 
8015, Sat Mar  4 14:34:35 2017
 
8048, Sat Mar  4 14:34:36 2017
 
8081, Sat Mar  4 14:34:38 2017
 
8114, Sat Mar  4 14:34:39 2017
 
8147, Sat Mar  4 14:34:41 2017
 
8180, Sat Mar  4 14:34:42 2017
 
Final time: Sat Mar  4 14:34:44 2017

